index,Country,Home,Away,Time,League,Season,Result,DT,Away_points,Home_points,Winner
387,England,Swansea,Stoke,13.05. 14:00,Premier League,2017/2018,1-2,2018-05-13 14:00:00,2,1,away
388,England,Tottenham,Leicester,13.05. 14:00,Premier League,2017/2018,5-4,2018-05-13 14:00:00,4,5,home
389,England,West Ham,Everton,13.05. 14:00,Premier League,2017/2018,3-1,2018-05-13 14:00:00,1,3,home
390,England,West Ham,Manchester Utd,10.05. 18:45,Premier League,2017/2018,0-0,2018-05-10 18:45:00,0,0,draw
391,England,Manchester City,Brighton,09.05. 19:00,Premier League,2017/2018,3-1,2018-05-09 19:00:00,1,3,home
392,England,Tottenham,Newcastle,09.05. 19:00,Premier League,2017/2018,1-0,2018-05-09 19:00:00,0,1,home
393,England,Chelsea,Huddersfield,09.05. 18:45,Premier League,2017/2018,1-1,2018-05-09 18:45:00,1,1,draw
394,England,Leicester,Arsenal,09.05. 18:45,Premier League,2017/2018,3-1,2018-05-09 18:45:00,1,3,home
395,England,Swansea,Southampton,08.05. 18:45,Premier League,2017/2018,0-1,2018-05-08 18:45:00,1,0,away
396,England,Arsenal,Burnley,06.05. 15:30,Premier League,2017/2018,5-0,2018-05-06 15:30:00,0,5,home
397,England,Chelsea,Liverpool,06.05. 15:30,Premier League,2017/2018,1-0,2018-05-06 15:30:00,0,1,home
398,England,Manchester City,Huddersfield,06.05. 12:30,Premier League,2017/2018,0-0,2018-05-06 12:30:00,0,0,draw
399,England,Everton,Southampton,05.05. 16:30,Premier League,2017/2018,1-1,2018-05-05 16:30:00,1,1,draw
400,England,Bournemouth,Swansea,05.05. 14:00,Premier League,2017/2018,1-0,2018-05-05 14:00:00,0,1,home
401,England,Leicester,West Ham,05.05. 14:00,Premier League,2017/2018,0-2,2018-05-05 14:00:00,2,0,away
402,England,Watford,Newcastle,05.05. 14:00,Premier League,2017/2018,2-1,2018-05-05 14:00:00,1,2,home
403,England,West Brom,Tottenham,05.05. 14:00,Premier League,2017/2018,1-0,2018-05-05 14:00:00,0,1,home
404,England,Stoke,Crystal Palace,05.05. 11:30,Premier League,2017/2018,1-2,2018-05-05 11:30:00,2,1,away
405,England,Brighton,Manchester Utd,04.05. 19:00,Premier League,2017/2018,1-0,2018-05-04 19:00:00,0,1,home
406,England,Tottenham,Watford,30.04. 19:00,Premier League,2017/2018,2-0,2018-04-30 19:00:00,0,2,home
407,England,Manchester Utd,Arsenal,29.04. 15:30,Premier League,2017/2018,2-1,2018-04-29 15:30:00,1,2,home
408,England,West Ham,Manchester City,29.04. 13:15,Premier League,2017/2018,1-4,2018-04-29 13:15:00,4,1,away
409,England,Swansea,Chelsea,28.04. 16:30,Premier League,2017/2018,0-1,2018-04-28 16:30:00,1,0,away
410,England,Burnley,Brighton,28.04. 14:00,Premier League,2017/2018,0-0,2018-04-28 14:00:00,0,0,draw
411,England,Crystal Palace,Leicester,28.04. 14:00,Premier League,2017/2018,5-0,2018-04-28 14:00:00,0,5,home
412,England,Huddersfield,Everton,28.04. 14:00,Premier League,2017/2018,0-2,2018-04-28 14:00:00,2,0,away
413,England,Newcastle,West Brom,28.04. 14:00,Premier League,2017/2018,0-1,2018-04-28 14:00:00,1,0,away
414,England,Southampton,Bournemouth,28.04. 14:00,Premier League,2017/2018,2-1,2018-04-28 14:00:00,1,2,home
415,England,Liverpool,Stoke,28.04. 11:30,Premier League,2017/2018,0-0,2018-04-28 11:30:00,0,0,draw
416,England,Everton,Newcastle,23.04. 19:00,Premier League,2017/2018,1-0,2018-04-23 19:00:00,0,1,home
